Tahun,Bulan,Sandi Bank,Sandi Bank LPS,Kelompok BUKU,Unnamed: 5,Flag Syariah,Nama Bank,Kas IDR,Kas Valas,Kas Total,Giro IDR,Giro Valas,Giro Total,SBI IDR,SBIS IDR,SBN IDR,SBSN IDR,SDBI IDR,SB Lainnya IDR,SB Lainnya HTM IDR,Total SB IDR,SBN Valas,SSB Lainnya Valas,SBBI Valas,SSB Valas Lainnya HTM Valas,Total SB Valas,FASBI DF IDR Valas,TD IDR,TD Valas,RR SBN IDR Valas,AL Lainnya IDR Valas,Total OM,GWM IDR,GWM Valas,PLM,Penem Bank Lain IDR,Kewajiban Bank Lain IDR,NAB IDR,Penem Bank Lain Valas,Kewajiban Bank Lain Valas,NAB Valas,NAB Total,TOTAL AL dan net AB,Total AL,DPK Giro IDR,DPK Tabungan IDR,DPK Deposito IDR,DPK IDR,DPK Giro Valas,DPK Tabungan Valas,DPK Deposito Valas,DPK Valas,DPK,NCD IDR,NCD Valas,NCD,Kredit IDR,Kredit Valas,Total Kredit,Repo SB,Kewajiban Repo atau Kewajiban BI,Rasio AL Net AB NCD,Rasio AL Net AB DPK,Rasio AL NCD,Rasio AL DPK
2022,3,542,BUK010,KBMI 2,,0,PT Bank Jago Tbk,8855650900,0,8855650900,329285040388,0,329285040388,0,0,2160002398363,0,0,0,0,2160002398363,0,0,0,0,0,426000000000,849759774570,0,1864849862753,0,3140609637323,126434379058.05,0.0,252868758116.1,95682621449,79784826,95602836623,0,0,0,95602836623,5355052426423,5259449589800,334701580977,1957605137218,1922172583740,4214479301935,0,0,0,0,4214479301935,879909273832.5,0.0,879909273832.5,6144615939406,0,6144615939406,0,0,6.085914,1.270632,5.977263,1.247947
2022,3,152,BUK068,KBMI 1,,0,PT Bank Shinhan Indonesia,43717921800,16236365651,59954287451,377579987078,158059000000,535638987078,0,0,1533108648589,0,0,8103760000,359329650442,1900542059031,0,0,0,0,0,0,624829768295,0,752715745272,0,1377545513567,212999228270.94,46552756089.8,565656724811.28,174674765903,108646699066,66028066837,501153448032,502915000000,-1761551968,64266514869,2745305242382,2681038727513,1238413874569,562678679171,5298881721958,7099974275698,743726093160,1174641239932,409270471398,2327637804490,9427612080188,1070215938317.8,616437247067.4,1686653185385.2,6623794224284,7236766176352,13860560400636,0,0,1.627664,0.291198,1.589561,0.284381
2022,3,146,BUK100,KBMI 1,,0,PT Bank Of India Indonesia Tbk.,9747783150,2623678817,12371461967,183000000000,23708850000,206708850000,0,0,694303295659,0,0,22000000000,0,716303295659,0,0,0,0,0,89439100946,0,0,267216830274,0,356655931220,53163377034.15,8314360107.16,131269834389.78,1006593408051,58221869,1006535186182,2294829867,100583000000,-98288170133,908247016049,1985538983364,1077291967315,178969830822,118839230340,1474303506643,1772112567805,155223903620,0,260494101738,415718005358,2187830573163,236773069012.9,72616581259.8,309389650272.7,1421703138821,516392900430,1938096039251,0,0,6.417599,0.907537,3.48199,0.492401
2022,3,40,BUA001,KBMI 1,,0,Bangkok Bank Public Company Limited,35000000,0,35000000,2318429433616,14369000000,2332798433616,0,0,276605566243,0,0,0,0,276605566243,0,0,0,0,0,0,0,0,0,0,0,9613281.75,6856171.22,39795077.16,100000000,0,100000000,7850430443,0,7850430443,7950430443,2617333165772,2609382735329,320442725,0,0,320442725,342808561,0,0,342808561,663251286,96132817.5,102842568.3,198975385.8,526390445922,1648799566701,2175190012623,0,0,13154.054986,3946.216495,13114.098132,3934.229439
2022,3,54,BUK021,KBMI 1,,0,"PT Bank Capital Indonesia, Tbk.",132478146550,42506902409,174985048959,3171290979802,224223738738,3395514718540,0,0,2605720392816,0,0,1450687225596,0,4056407618412,0,203047189480,0,0,203047189480,1420000000000,1249677933444,215546764619,148026990020,0,3033251688083,571349716852.29,21253208195.48,1206459058291.02,430912185856,6598159101,424314026755,306280741638,0,306280741638,730594768393,8141004633453,7410409865060,2450495380413,5989951071653,10604544109677,19044990561743,321240983916,0,741419425858,1062660409774,20107650971517,3592588346587.5,170514237760.6,3763102584348.1,1576713996655,190328290954,1767042287609,0,0,2.163375,0.40487,1.969228,0.368536
2022,3,137,BUK033,KBMI 1,,0,"PT Bank Pembangunan Daerah Banten, Tbk",67563246500,0,67563246500,293448727917,0,293448727917,0,0,616986127644,0,0,0,500948172252,1117934299896,0,0,0,0,0,477000000000,199889642265,0,629088474696,0,1305978116961,159021081877.86,0.0,318042163755.72,589926275092,1395310163584,-805383888492,0,0,0,-805383888492,1001529084896,1806912973388,1192973700760,520309774234,3587419254268,5300702729262,0,0,0,0,5300702729262,872726967925.0,0.0,872726967925.0,3537118930190,0,3537118930190,0,0,1.147585,0.188942,2.070421,0.340881
2022,3,122,BUK052,KBMI 1,,0,PT Bank Pembangunan Daerah Kalimantan Selatan,489667398100,6704029,489674102129,1019085115216,0,1019085115216,0,0,804967422669,0,0,503168080866,95467512630,1403603016165,0,0,0,0,0,462700000000,1224663596099,0,1138150300015,0,2825513896114,435396994889.4,0.0,870793989778.8,350672383174,130647035429,220025347745,0,0,0,220025347745,4053074899205,3833049551460,4952942024475,3827123157077,5733167981428,14513233162980,0,0,0,0,14513233162980,3207336352608.4,0.0,3207336352608.4,11470608482777,0,11470608482777,0,0,1.263688,0.279267,1.195088,0.264107
2022,3,129,BUK014,KBMI 1,,0,PT Bank Pembangunan Daerah Bali,347201910750,1669376051,348871286801,1105232933237,740003500,1105972936737,0,0,1631643928948,0,0,0,188000000000,1819643928948,0,0,0,0,0,71000000000,149952352260,0,4895449766977,0,5116402119237,713405286926.94,57387978.42,1426982737789.14,571335592551,842453266987,-271117674436,27897796003,0,27897796003,-243219878433,5847651610430,6090871488863,4225978033851,9245005173661,10309193023386,23780176230898,73228591,1122181830,1673988500,2869398921,23783045629819,5072214264592.2,526021976.3,5072740286568.5,19797815240891,0,19797815240891,644884947170,616458317336,1.152759,0.245874,1.200706,0.256101
2022,3,200,BUK016,KBMI 3,,0,PT Bank Tabungan Negara (Persero) Tbk.,1482652491459,7149926226,1489802417685,12214514663794,145975870093,12360490533887,0,0,43444441981397,0,0,985047548073,4292984184275,48722473713745,5428523797466,321222481960,0,0,5749746279426,8326000000000,0,2873826342975,0,0,11199826342975,8540564723601.75,117068532166.04,17432335043701.62,659806979612,61906886487,597900093125,1361583160773,0,1361583160773,1959483253898,49837031013829,47877547759931,77424735675045,45368920826547,161891834285133,284685490786725,5330569584495,145355625172,377501398635,5853426608302,290538917395027,53027280378990.9,1680527702763.6,54707808081754.5,277129266111961,7566589384,277136832701345,636756927501,592325941510,0.910967,0.171533,0.87515,0.164788
2022,3,114,BUK050,KBMI 2,,0,"PT Bank Pembangunan Daerah Jawa Timur, Tbk.",1749409121550,39731091551,1789140213101,9310787766498,8621400000,9319409166498,0,0,23936305487647,0,0,0,3094962788308,27031268275955,0,0,0,0,0,724000000000,3798884245936,0,16362739883965,0,20885624129901,2737352689370.94,2213193989.52,5481344960710.44,2941683885374,1024440468309,1917243417065,54797380595,0,54797380595,1972040797660,49681608950736,47709568153076,27525974272476,22709277728059,41009837645163,91245089645698,6486682126,37944171026,66228846324,110659699476,91355749345174,19171559364676.8,19952140578.0,19191511505254.8,42306747224424,0,42306747224424,0,0,2.588728,0.543825,2.485972,0.522239
2022,3,118,BUK072,KBMI 1,,0,PT Bank Nagari,477033880969,302363965,477336244934,1231600787331,933985000,1232534772331,0,0,2160565479462,0,0,0,13676000000,2174241479462,0,0,0,0,0,1864649258753,0,0,811656389656,0,2676305648409,717182499752.34,158721876.44,1434841165134.0,952863379934,187750436358,765112943576,10434090158,0,10434090158,775547033734,5170106792108,4394559758374,5016070316103,6701732353636,12188280655339,23906083325078,36363197,2580614205,5319116420,7936093822,23914019418900,4734168866455.6,1317004862.6,4735485871318.2,21297205859044,0,21297205859044,0,0,1.091779,0.216195,0.928006,0.183764
2022,3,503,BUK073,KBMI 1,,0,PT Bank Nationalnobu Tbk,90611551050,6650084247,97261635297,1090164675626,55337129662,1145501805288,0,0,980971802370,0,0,0,40000000000,1020971802370,0,0,0,0,0,1815800000000,0,287380000000,3902003072994,0,6005183072994,434868748901.91,24440760979.5,943059780742.32,317684827787,881620621431,-563935793644,616683436279,344856000000,271827436279,-292108357365,5250316399052,5542424756417,4950906389175,1307193151748,8237525422474,14495624963397,829653568718,61747318456,330637161801,1222038048975,15717663012372,2701182404524.3,300483982332.3,3001666386856.6,10287871771734,0,10287871771734,197811000000,1481935268908,1.749133,0.334039,1.846449,0.352623
2022,3,947,BUS011,KBMI 1,,1,PT Bank Aladin Syariah Tbk,224350300,0,224350300,190750996370,718450000,191469446370,0,0,0,358568248762,0,301508132261,158393000000,818469381023,0,0,0,0,0,171600000000,0,0,0,0,171600000000,6849545572.71,0.0,10274318359.065,832002258,0,832002258,1978556554,0,1978556554,2810558812,1167449872573,1164639313761,0,51918185757,176400000000,228318185757,0,0,0,0,228318185757,33215455727.1,0.0,33215455727.1,0,0,0,0,0,35.14779,5.113258,35.063174,5.100948
